name,response,confidence_no_fp,exp_url,source,scope,expected_countries,notes
dns_prod_fortidns,208.91.112.55,10,https://explorer.ooni.org/measurement/20190404T082635Z_AS6661_WCvp1TnPzuxfEVQl2ZjgPGkDiLXre1Lenrp1cUiwEUJ1oEk6PV?input=https://www.scruff.com/,"['https://docs.fortinet.com/document/fortigate/6.0.0/cookbook/124730/troubleshooting', 'https://docs.fortinet.com/product/fortidns/1.3']",prod,[],Fortinet FortiDNS product
dns_prod_id_nawala,180.131.146.7,10,https://explorer.ooni.org/measurement/20170214T023529Z_AS17974_1hVbJGBPLdOsxQvNgIawwvABxfZuLNeVK5VaY1XWajguEt0yK3?input=http://www.lesbian.org,['https://nawala.id/'],prod,['ID'],Indonesian Sehat DNS filtering product
dns_prod_opendns_1,146.112.61.106,10,https://explorer.ooni.org/measurement/20170209T174739Z_AS1136_wBIk5bny3acHUuSTuZ8sqtFnKcU47tiRY0LEw08s9m9VDZBsO3?input=http://gayromeo.com,['https://www.opendns.com/cisco-opendns/'],prod,[],Cisco OpenDNS a popular DNS filtering system. NOTE: there is probably a more sophisticated way to track these IE - CNAME used in the redir.
dns_prod_opendns_2,208.69.32.164,10,https://explorer.ooni.org/measurement/20191007T155258Z_AS20115_DS8uyNobQ0CH9o9fls70ftC1ItOJ7dK5OlMG3YBs7NYrIXQ2Ty?input=https://www.planetromeo.com/,['https://www.opendns.com/cisco-opendns/'],prod,[],Cisco OpenDNS a popular DNS filtering system. NOTE: there is probably a more sophisticated way to track these IE - CNAME used in the redir.
dns_prod_ru_netpolice,159.255.26.69,10,,['http://www.netpolice.ru/'],prod,['RU'],Russian DNS based RKN filtering proudct.
dns_prod_safedns,195.46.39.11,10,https://explorer.ooni.org/measurement/20191115T114711Z_AS12390_NIVFbxg8nx3pPxL5vbk2Fg4duFANRINLyvIaMNuzyDPiMdY2X3?input=https://bisexual.org/,['https://www.safedns.com/en/'],prod,[''],"SafeDNS filtering for home, edu, telecom. Cloud based filtering product."
dns_prod_securely_1,204.110.220.2,10,,['https://www.securly.com/'],prod,[],DNS filtering product for schools
dns_prod_securely_2,52.52.63.90,10,,['https://www.securly.com/'],prod,[],DNS filtering product for schools
dns_prod_skydns_1,193.58.251.1,10,https://explorer.ooni.org/measurement/20171003T161217Z_AS15599_eoh3aUHQ7NV5LwWDA3Br8Hf3FGcgxG3s8mjxFd40cSWcV5BL23?input=http://lgbt.foundation/,['https://www.skydns.ru/'],prod,['RU'],Russian DNS filter product
dns_prod_skydns_2,193.58.251.11,10,,['https://www.skydns.ru/'],prod,['RU'],Russian DNS filter product
dns_prod_skydns_3,95.217.66.240,10,,['https://www.skydns.ru/'],prod,['RU'],Russian DNS filter product
dns_prod_smartdns_proxy,54.242.237.204,10,,['https://www.smartdnsproxy.com/Services'],prod,[''],A geoip avoidance/unblocking DNS service
dns_prod_yandex_security_check,93.158.134.250,10,https://explorer.ooni.org/measurement/20180919T192809Z_AS34984_Rlb0RqQAPfo5LqUQHWREV7c1sxNXcHSGHrVftNTgOoVBhAcu20?input=http://www.exgay.com,['https://yandex.ru/safety/'],prod,['RU'],Yandex Check Site Security Status Response
